y, e, y(t;y;e)
-20,  -20,  1.96128e-09
-20,  -19.8,  1.80831e-09
-20,  -19.6,  1.88447e-09
-20,  -19.4,  1.75334e-09
-20,  -19.2,  1.82497e-09
-20,  -19,  1.69956e-09
-20,  -18.8,  1.76833e-09
-20,  -18.6,  1.63809e-09
-20,  -18.4,  1.71399e-09
-20,  -18.2,  1.58578e-09
-20,  -18,  1.65307e-09
-20,  -17.8,  1.52825e-09
-20,  -17.6,  1.60484e-09
-20,  -17.4,  1.46741e-09
-20,  -17.2,  1.54704e-09
-20,  -17,  1.42089e-09
-20,  -16.8,  1.4856e-09
-20,  -16.6,  1.36498e-09
-20,  -16.4,  1.44045e-09
-20,  -16.2,  1.29955e-09
-20,  -16,  1.39292e-09
-20,  -15.8,  1.24867e-09
-20,  -15.6,  1.32727e-09
-20,  -15.4,  1.21382e-09
-20,  -15.2,  1.25363e-09
-20,  -15,  1.18018e-09
-20,  -14.8,  1.18519e-09
-20,  -14.6,  1.13947e-09
-20,  -14.4,  1.12495e-09
-20,  -14.2,  1.09252e-09
-20,  -14,  1.07011e-09
-20,  -13.8,  1.0426e-09
-20,  -13.6,  1.0178e-09
-20,  -13.4,  9.91847e-10
-20,  -13.2,  9.6657e-10
-20,  -13,  9.41147e-10
-20,  -12.8,  9.15928e-10
-20,  -12.6,  8.90762e-10
-20,  -12.4,  8.65715e-10
-20,  -12.2,  8.40765e-10
-20,  -12,  8.1591e-10
-20,  -11.8,  7.91154e-10
-20,  -11.6,  7.66491e-10
-20,  -11.4,  7.41933e-10
-20,  -11.2,  7.17475e-10
-20,  -11,  6.93103e-10
-20,  -10.8,  6.68835e-10
-20,  -10.6,  6.44655e-10
-20,  -10.4,  6.20581e-10
-20,  -10.2,  5.96592e-10
-20,  -10,  5.72702e-10
-20,  -9.8,  5.48904e-10
-20,  -9.6,  5.25204e-10
-20,  -9.4,  5.01594e-10
-20,  -9.2,  4.78078e-10
-20,  -9,  4.54664e-10
-20,  -8.8,  4.31326e-10
-20,  -8.6,  4.08089e-10
-20,  -8.4,  3.84945e-10
-20,  -8.2,  3.61889e-10
-20,  -8,  3.38921e-10
-20,  -7.8,  3.16051e-10
-20,  -7.6,  2.93261e-10
-20,  -7.4,  2.70568e-10
-20,  -7.2,  2.47966e-10
-20,  -7,  2.25447e-10
-20,  -6.8,  2.03021e-10
-20,  -6.6,  1.8068e-10
-20,  -6.4,  1.58424e-10
-20,  -6.2,  1.36268e-10
-20,  -6,  1.14186e-10
-20,  -5.8,  9.22007e-11
-20,  -5.6,  7.02938e-11
-20,  -5.4,  4.84812e-11
-20,  -5.2,  2.67486e-11
-20,  -5,  5.10592e-12
-20,  -4.8,  -1.64624e-11
-20,  -4.6,  -3.79452e-11
-20,  -4.4,  -5.93259e-11
-20,  -4.2,  -8.06355e-11
-20,  -4,  -1.01861e-10
-20,  -3.8,  -1.23005e-10
-20,  -3.6,  -1.44057e-10
-20,  -3.4,  -1.65035e-10
-20,  -3.2,  -1.85932e-10
-20,  -3,  -2.06738e-10
-20,  -2.8,  -2.27467e-10
-20,  -2.6,  -2.48117e-10
-20,  -2.4,  -2.68682e-10
-20,  -2.2,  -2.89168e-10
-20,  -2,  -3.09577e-10
-20,  -1.8,  -3.29902e-10
-20,  -1.6,  -3.5015e-10
-20,  -1.4,  -3.7032e-10
-20,  -1.2,  -3.90404e-10
-20,  -1,  -4.10415e-10
-20,  -0.8,  -4.30345e-10
-20,  -0.6,  -4.50197e-10
