y, e, y(t;y;e)
-20,  -20,  2.5
-20,  -19.8,  2.5
-20,  -19.6,  2.5
-20,  -19.4,  2.5
-20,  -19.2,  2.5
-20,  -19,  2.5
-20,  -18.8,  2.5
-20,  -18.6,  2.5
-20,  -18.4,  2.5
-20,  -18.2,  2.5
-20,  -18,  2.5
-20,  -17.8,  2.5
-20,  -17.6,  2.5
-20,  -17.4,  2.5
-20,  -17.2,  2.5
-20,  -17,  2.5
-20,  -16.8,  2.5
-20,  -16.6,  2.5
-20,  -16.4,  2.5
-20,  -16.2,  2.5
-20,  -16,  2.5
-20,  -15.8,  2.5
-20,  -15.6,  2.5
-20,  -15.4,  2.5
-20,  -15.2,  2.5
-20,  -15,  2.5
-20,  -14.8,  2.5
-20,  -14.6,  2.5
-20,  -14.4,  2.5
-20,  -14.2,  2.5
-20,  -14,  2.5
-20,  -13.8,  2.5
-20,  -13.6,  2.5
-20,  -13.4,  2.5
-20,  -13.2,  2.5
-20,  -13,  2.5
-20,  -12.8,  2.5
-20,  -12.6,  2.5
-20,  -12.4,  2.5
-20,  -12.2,  2.5
-20,  -12,  2.5
-20,  -11.8,  2.5
-20,  -11.6,  2.5
-20,  -11.4,  2.5
-20,  -11.2,  2.5
-20,  -11,  2.5
-20,  -10.8,  2.5
-20,  -10.6,  2.5
-20,  -10.4,  2.5
-20,  -10.2,  2.5
-20,  -10,  2.5
-20,  -9.8,  2.5
-20,  -9.6,  2.5
-20,  -9.4,  2.5
-20,  -9.2,  2.5
-20,  -9,  2.5
-20,  -8.8,  2.5
-20,  -8.6,  2.5
-20,  -8.4,  2.5
-20,  -8.2,  2.5
-20,  -8,  2.5
-20,  -7.8,  2.5
-20,  -7.6,  2.5
-20,  -7.4,  2.5
-20,  -7.2,  2.5
-20,  -7,  2.5
-20,  -6.8,  2.5
-20,  -6.6,  2.5
-20,  -6.4,  2.5
-20,  -6.2,  2.5
-20,  -6,  2.5
-20,  -5.8,  2.5
-20,  -5.6,  2.5
-20,  -5.4,  2.5
-20,  -5.2,  2.5
-20,  -5,  2.5
-20,  -4.8,  2.5
-20,  -4.6,  2.5
-20,  -4.4,  2.5
-20,  -4.2,  2.5
-20,  -4,  2.5
-20,  -3.8,  2.5
-20,  -3.6,  2.5
-20,  -3.4,  2.5
-20,  -3.2,  2.5
-20,  -3,  2.5
-20,  -2.8,  2.5
-20,  -2.6,  2.5
-20,  -2.4,  2.5
-20,  -2.2,  2.5
-20,  -2,  2.5
-20,  -1.8,  2.5
-20,  -1.6,  2.5
-20,  -1.4,  2.5
-20,  -1.2,  2.5
-20,  -1,  2.5
-20,  -0.8,  2.5
-20,  -0.6,  2.5
-20,  -0.4,  2.5
-20,  -0.2,  2.5
-20,  0,  2.5
-20,  0.2,  2.5
-20,  0.4,  2.5
-20,  0.6,  2.5
-20,  0.8,  2.5
-20,  1,  2.5
-20,  1.2,  2.5
-20,  1.4,  2.5
-20,  1.6,  2.5
-20,  1.8,  2.5
-20,  2,  2.5
-20,  2.2,  2.5
-20,  2.4,  2.5
-20,  2.6,  2.5
-20,  2.8,  2.5
-20,  3,  2.5
-20,  3.2,  2.5
-20,  3.4,  2.5
-20,  3.6,  2.5
-20,  3.8,  2.5
-20,  4,  2.5
-20,  4.2,  2.5
-20,  4.4,  2.5
-20,  4.6,  2.5
-20,  4.8,  2.5
-20,  5,  2.5
-20,  5.2,  2.5
-20,  5.4,  2.5
-20,  5.6,  2.5
-20,  5.8,  2.5
-20,  6,  2.5
-20,  6.2,  2.5
-20,  6.4,  2.5
-20,  6.6,  2.5
-20,  6.8,  2.5
-20,  7,  2.5
-20,  7.2,  2.5
-20,  7.4,  2.5
-20,  7.6,  2.5
-20,  7.8,  2.5
-20,  8,  2.5
-20,  8.2,  2.5
-20,  8.4,  2.5
-20,  8.6,  2.5
-20,  8.8,  2.5
-20,  9,  2.5
-20,  9.2,  2.5
-20,  9.4,  2.5
-20,  9.6,  2.5
-20,  9.8,  2.5
-20,  10,  2.5
-20,  10.2,  2.5
-20,  10.4,  2.5
-20,  10.6,  2.5
-20,  10.8,  2.5
-20,  11,  2.5
-20,  11.2,  2.5
-20,  11.4,  2.5
-20,  11.6,  2.5
-20,  11.8,  2.5
-20,  12,  2.5
-20,  12.2,  2.5
-20,  12.4,  2.5
-20,  12.6,  2.5
-20,  12.8,  2.5
-20,  13,  2.5
-20,  13.2,  2.5
-20,  13.4,  2.5
-20,  13.6,  2.5
-20,  13.8,  2.5
-20,  14,  2.5
-20,  14.2,  2.5
-20,  14.4,  2.5
-20,  14.6,  2.5
-20,  14.8,  2.5
-20,  15,  2.5
-20,  15.2,  2.5
-20,  15.4,  2.5
-20,  15.6,  2.5
-20,  15.8,  2.5
-20,  16,  2.5
-20,  16.2,  2.5
-20,  16.4,  2.5
-20,  16.6,  2.5
-20,  16.8,  2.5
-20,  17,  2.5
-20,  17.2,  2.5
-20,  17.4,  2.5
-20,  17.6,  2.5
-20,  17.8,  2.5
-20,  18,  2.5
-20,  18.2,  2.5
-20,  18.4,  2.5
-20,  18.6,  2.5
-20,  18.8,  2.5
-20,  19,  2.5
-20,  19.2,  2.5
-20,  19.4,  2.5
-20,  19.6,  2.5
-20,  19.8,  2.5
-20,  20,  2.5
-19.8,  -20,  2.5
-19.8,  -19.8,  2.5
-19.8,  -19.6,  2.5
-19.8,  -19.4,  2.5
-19.8,  -19.2,  2.5
-19.8,  -19,  2.5
-19.8,  -18.8,  2.5
-19.8,  -18.6,  2.5
-19.8,  -18.4,  2.5
-19.8,  -18.2,  2.5
-19.8,  -18,  2.5
-19.8,  -17.8,  2.5
-19.8,  -17.6,  2.5
-19.8,  -17.4,  2.5
-19.8,  -17.2,  2.5
-19.8,  -17,  2.5
-19.8,  -16.8,  2.5
-19.8,  -16.6,  2.5
-19.8,  -16.4,  2.5
-19.8,  -16.2,  2.5
-19.8,  -16,  2.5
-19.8,  -15.8,  2.5
-19.8,  -15.6,  2.5
-19.8,  -15.4,  2.5
-19.8,  -15.2,  2.5
-19.8,  -15,  2.5
-19.8,  -14.8,  2.5
-19.8,  -14.6,  2.5
-19.8,  -14.4,  2.5
-19.8,  -14.2,  2.5
-19.8,  -14,  2.5
-19.8,  -13.8,  2.5
-19.8,  -13.6,  2.5
-19.8,  -13.4,  2.5
-19.8,  -13.2,  2.5
-19.8,  -13,  2.5
-19.8,  -12.8,  2.5
-19.8,  -12.6,  2.5
-19.8,  -12.4,  2.5
-19.8,  -12.2,  2.5
-19.8,  -12,  2.5
-19.8,  -11.8,  2.5
-19.8,  -11.6,  2.5
-19.8,  -11.4,  2.5
-19.8,  -11.2,  2.5
-19.8,  -11,  2.5
-19.8,  -10.8,  2.5
-19.8,  -10.6,  2.5
-19.8,  -10.4,  2.5
-19.8,  -10.2,  2.5
-19.8,  -10,  2.5
-19.8,  -9.8,  2.5
-19.8,  -9.6,  2.5
-19.8,  -9.4,  2.5
-19.8,  -9.2,  2.5
-19.8,  -9,  2.5
-19.8,  -8.8,  2.5
-19.8,  -8.6,  2.5
-19.8,  -8.4,  2.5
-19.8,  -8.2,  2.5
-19.8,  -8,  2.5
-19.8,  -7.8,  2.5
-19.8,  -7.6,  2.5
-19.8,  -7.4,  2.5
-19.8,  -7.2,  2.5
-19.8,  -7,  2.5
-19.8,  -6.8,  2.5
-19.8,  -6.6,  2.5
-19.8,  -6.4,  2.5
